INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE PRIMARIA/TERMINAL;ITACOATIARA;AM;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;ITACOATIARA;AM;FERROVIARIO;BASE SECUNDARIA;SANTAREM;PA;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;CRUZEIRO DO SUL;AC;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;CARACARAI;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;CRUZEIRO DO SUL;AC;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE PRIMARIA/TERMINAL;MANAUS;AM;FERROVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;B;C
BASE SECUNDARIA;PORTO VELHO;RO;FERROVIARIO;BASE SECUNDARIA;VILHENA;RO;B;C
BASE PRIMARIA/TERMINAL;BELEM;PA;FERROVIARIO;BASE SECUNDARIA;MACAPA;AP;B;C
BASE PRIMARIA/TERMINAL;BETIM;MG;FERROVIARIO;BASE SECUNDARIA;MONTES CLAROS;MG;B;C
BASE PRIMARIA/TERMINAL;BETIM;MG;RODOVIARIO;BASE PRIMARIA/TERMINAL;VITORIA;ES;B;C
BASE PRIMARIA/TERMINAL;DUQUE DE CAXIAS;RJ;RODOVIARIO;BASE PRIMARIA/TERMINAL;VITORIA;ES;B;C
BASE PRIMARIA/TERMINAL;GUARAREMA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO JOSE DOS CAMPOS;SP;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;FERROVIARIO;BASE SECUNDARIA;ALTO TAQUARI;MT;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;FERROVIARIO;BASE SECUNDARIA;BAURU;SP;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;BARUERI;SP;B;C
BASE PRIMARIA/TERMINAL;GUARAREMA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARULHOS;SP;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;BARUERI;SP;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;FERROVIARIO;BASE SECUNDARIA;ALTO TAQUARI;MT;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;RODOVIARIO;BASE SECUNDARIA;VARZEA GRANDE;MT;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ARACATUBA;SP;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
