,source,target,volume_m3,volume_perc,distancia
162,DIST GUARULHOS,CONS GUARULHOS,,,1.0
163,REFI ARAUCARIA,REFI ARAUCARIA,,,1.0
164,REFI ARAUCARIA,REFI CASCAVEL,,,413.60180197740584
165,REFI ARAUCARIA,REFI LONDRINA,,,310.28127911811737
166,REFI ARAUCARIA,REFI MARINGA,,,351.3088724266323
167,REFI ARAUCARIA,REFI GUARAMIRIM,,,106.07673546168871
168,REFI ARAUCARIA,REFI ASSIS CHATEAUBRIAND,,,434.71791523723573
169,REFI ARAUCARIA,REFI CAMPO LARGO,,,19.380616682002984
170,REFI ARAUCARIA,REFI CIANORTE,,,387.9716868274856
171,REFI ARAUCARIA,REFI GUARAPUAVA,,,207.6682963751902
172,REFI ARAUCARIA,REFI IGUATEMI,,,563.0861052289612
173,REFI ARAUCARIA,REFI NOVA ESPERANCA,,,389.55152982221523
174,REFI ARAUCARIA,REFI PINHAIS,,,26.560059359129777
175,REFI ARAUCARIA,REFI PONTA GROSSA,,,94.26978358287651
176,REFI ARAUCARIA,REFI RENASCENCA,,,362.36710998858416
177,REFI ARAUCARIA,REFI SAO MATEUS DO SUL,,,102.98161304189281
178,REFI ARAUCARIA,REFI UMUARAMA,,,444.35276168649074
179,REFI CASCAVEL,DIST CASCAVEL,,,1.0
180,REFI LONDRINA,REFI OURINHOS,,,137.66658545861904
181,REFI LONDRINA,REFI SARANDI,,,73.81553235069345
182,REFI MARINGA,REFI SARANDI,,,6.407991275056065
183,REFI MARINGA,DIST MARINGA,,,1.0
184,REFI GUARAMIRIM,REFI ITAJAI,,,59.13075256132679
185,REFI ASSIS CHATEAUBRIAND,DIST ASSIS CHATEAUBRIAND,,,1.0
186,REFI CAMPO LARGO,DIST CAMPO LARGO,,,1.0
187,REFI CIANORTE,REFI CASCAVEL,,,168.20835590665106
188,REFI GUARAPUAVA,DIST GUARAPUAVA,,,1.0
189,REFI IGUATEMI,REFI OURINHOS,,,485.4317606530808
190,REFI NOVA ESPERANCA,DIST NOVA ESPERANCA,,,1.0
191,REFI PINHAIS,DIST PINHAIS,,,1.0
192,REFI PONTA GROSSA,DIST PONTA GROSSA,,,1.0
193,REFI RENASCENCA,DIST RENASCENCA,,,1.0
194,REFI SAO MATEUS DO SUL,DIST SAO MATEUS DO SUL,,,1.0
195,REFI UMUARAMA,DIST UMUARAMA,,,1.0
196,REFI PARANAGUA,REFI ARAUCARIA,,,88.8420312056951
197,REFI CANOAS,REFI ESTEIO,,,6.762411176166699
198,REFI CANOAS,REFI CANOAS,,,1.0
199,REFI CANOAS,REFI SANTA MARIA,,,254.93075823140904
200,REFI CANOAS,REFI PASSO FUNDO,,,219.10071236546693
201,REFI CANOAS,REFI TUBARAO,,,264.785430209205
202,REFI CANOAS,DIST CANOAS,,,1.0
203,REFI ESTEIO,REFI CRUZ ALTA,,,270.4863380000521
204,REFI ESTEIO,REFI IJUI,,,311.6427682742218
205,REFI ESTEIO,REFI PASSO FUNDO,,,213.55963954938184
206,REFI ESTEIO,DIST ESTEIO,,,1.0
207,REFI SANTA MARIA,DIST SANTA MARIA,,,1.0
208,REFI PASSO FUNDO,REFI IRANI,,,145.51731706038083
209,REFI PASSO FUNDO,REFI LAGES,,,210.29465563819684
210,REFI PASSO FUNDO,REFI CHAPECO,,,130.26529038399394
211,REFI TUBARAO,DIST TUBARAO,,,1.0
212,DIST CANOAS,DIST CANOAS,3190026.0,0.04976968524784259,1.0
213,DIST CANOAS,DIST ESTEIO,1685360.0,0.026294405352590852,6.762411176166699
214,DIST CANOAS,DIST PASSO FUNDO,124112.0,0.0019363526113831797,219.10071236546693
215,DIST CANOAS,DIST TRIUNFO,19988.0,0.0003118458811100216,50.32069018843153
216,DIST CANOAS,DIST MONTENEGRO,9.0,1.4041489543677176e-07,37.38775126540008
217,DIST CANOAS,CONS CANOAS,,,1.0
218,REFI CRUZ ALTA,DIST CRUZ ALTA,,,1.0
219,REFI IJUI,DIST IJUI,,,1.0
220,DIST ESTEIO,CONS ESTEIO,,,1.0
221,DIST SANTA MARIA,CONS SANTA MARIA,,,1.0
222,REFI RIO GRANDE,REFI TUBARAO,,,495.17419529897137
223,REFI RIO GRANDE,REFI LAGES,,,499.61627731317935
224,REFI RIO GRANDE,REFI ICARA,,,456.5620949789842
225,REFI RIO GRANDE,REFI ESTEIO,,,258.1920342353805
226,REFI LAGES,REFI ICARA,,,141.06455129543843
227,REFI LAGES,DIST LAGES,,,1.0
228,REFI ICARA,DIST ICARA,,,1.0
229,DIST TUBARAO,CONS TUBARAO,,,1.0
230,DIST LAGES,CONS LAGES,,,1.0
231,REFI TRIUNFO,REFI CANOAS,,,50.32069018843153
232,DIST JUAZEIRO,DIST JUAZEIRO,5.0,7.800827524265098e-08,1.0
233,DIST JUAZEIRO,CONS JUAZEIRO,,,1.0
234,DIST MONTES CLAROS,CONS MONTES CLAROS,,,1.0
235,DIST LARANJEIRAS,CONS LARANJEIRAS,,,1.0
236,DIST LUIS EDUARDO MAGALHAES,CONS LUIS EDUARDO MAGALHAES,,,1.0
237,DIST MARACANAU,DIST MARACANAU,1.0,1.5601655048530196e-08,1.0
238,DIST MARACANAU,CONS MARACANAU,,,1.0
239,DIST CHA DE ALEGRIA,CONS CHA DE ALEGRIA,,,1.0
240,DIST CABEDELO,DIST CABEDELO,505166.0,0.007881425674245804,1.0
241,DIST CABEDELO,CONS CABEDELO,,,1.0
242,REFI MARABA,REFI PORTO NACIONAL,,,597.1247398330944
243,REFI MARABA,DIST MARABA,,,1.0
244,REFI ITAITUBA,DIST ITAITUBA,,,1.0
