Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
220;BR-010;BR-222, BR-308, BR-316;PA;Norte;Belém;Dom Eliseu;Federal;Pública;461;Mais de 250 km até 500 km;Regular
219;BR-060;BR-262, BR-267, BR-419;MS;Centro-Oeste;Campo Grande;Bela Vista;Federal;Pública;359;Mais de 250 km até 500 km;Regular
218;RS-129;-;RS;Sul;Guaporé;Encantado;Estadual;Concessionada;59;Até 100 km;Regular
217;RS-453;BR-453;RS;Sul;São Francisco de Paula;São Francisco de Paula;Estadual;Pública;55;Até 100 km;Regular
216;DF-001;BR-251;DF;Centro-Oeste;Brasília;Brasília;Estadual;Pública;51;Até 100 km;Regular
215;BR-408;-;PE;Nordeste;Timbaúba;Jaboatão dos Guararapes;Federal;Pública;87;Até 100 km;Regular
214;BR-210;BR-156;AP;Norte;Ferreira Gomes;Macapá;Federal;Pública;101;Mais de 100 km até 250 km;Regular
213;GO-070;BR-070;GO;Centro-Oeste;Itapirapuã;Goiânia;Estadual;Pública;187;Mais de 100 km até 250 km;Regular
212;BR-210;BR-174;RR;Norte;Caracaraí;Caroebe;Federal;Pública;222;Mais de 100 km até 250 km;Regular
211;BR-471;-;RS;Sul;Santa Cruz do Sul;Pantano Grande;Federal;Pública;59;Até 100 km;Regular
210;MT-235;-;MT;Centro-Oeste;Nova Mutum;Santa Rita do Trivelato;Estadual;Concessionada;96;Até 100 km;Regular
209;BR-116;BR-251, BR-267, BR-342, BR-393, BR-451, BR-458;MG;Sudeste;Divisa Alegre;Além Paraíba;Federal;Pública;829;Mais de 500 km;Regular
208;MT-100;-;MT;Centro-Oeste;Alto Araguaia;Alto Taquari;Estadual;Concessionada;91;Até 100 km;Regular
207;ES-060;-;ES;Sudeste;Guarapari;Marataízes;Estadual;Pública;61;Até 100 km;Regular
206;BR-402;BR-343;PI;Nordeste;Luís Correia;Buriti dos Lopes;Federal;Pública;99;Até 100 km;Regular
205;PR-323;-;PR;Sul;Maringá;Iporã;Estadual;Pública;207;Mais de 100 km até 250 km;Regular
204;BR-425;BR-364, BR-421;RO;Norte;Porto Velho;Guajará-Mirim;Federal;Pública;149;Mais de 100 km até 250 km;Regular
203;BR-267;BR-060, BR-419;MS;Centro-Oeste;Porto Murtinho;Bataguassu;Federal;Pública;642;Mais de 500 km;Regular
202;BR-110;BR-101, BR-420, BR-423;BA;Nordeste;Paulo Afonso;São Sebastião do Passé;Federal;Pública;415;Mais de 250 km até 500 km;Regular
201;BR-101;BR-235, BR-349;SE;Nordeste;Propriá;Cristinápolis;Federal;Pública;210;Mais de 100 km até 250 km;Regular
200;BR-471;-;RS;Sul;Rio Grande;Chuí;Federal;Pública;221;Mais de 100 km até 250 km;Regular
199;BR-222;BR-343;PI;Nordeste;São João do Arraial;São João da Fronteira;Federal;Pública;178;Mais de 100 km até 250 km;Regular
198;SP-425;BR-265, BR-267;SP;Sudeste;Barretos;Parapuã;Estadual;Pública;237;Mais de 100 km até 250 km;Regular
197;BR-290;BR-116, BR-153, BR-158, BR-293, BR-377, BR-472, BR-473;RS;Sul;Uruguaiana;Porto Alegre;Federal;Pública;627;Mais de 500 km;Regular
196;BR-406;BR-101, BR-104;RN;Nordeste;Macau;Natal;Federal;Pública;179;Mais de 100 km até 250 km;Regular
195;BR-262;BR-381;MG;Sudeste;João Monlevade;Martins Soares;Federal;Pública;198;Mais de 100 km até 250 km;Regular
194;BR-364;BR-154, BR-461, BR-497;MG;Sudeste;Santa Vitória;Planura;Federal;Pública;241;Mais de 100 km até 250 km;Regular
193;BR-392;BR-158, BR-287;RS;Sul;Júlio de Castilhos;Santana da Boa Vista;Federal;Pública;238;Mais de 100 km até 250 km;Regular
192;BR-153;BR-060, BR-452;GO;Centro-Oeste;Anápolis;Itumbiara;Federal;Concessionada;258;Mais de 250 km até 500 km;Regular
191;BR-392;-;RS;Sul;Porto Xavier;Santo Ângelo;Federal;Pública;102;Mais de 100 km até 250 km;Regular
