Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
505;BR-163;BR-282;SC;Sul;Dionísio Cerqueira;São Miguel do Oeste;Federal;Pública;59;Até 100 km;Péssimo
504;RS-153;BR-153, BR-471;RS;Sul;Barros Cassal;Vera Cruz;Estadual;Pública;82;Até 100 km;Péssimo
503;AC-405;BR-364;AC;Norte;Mâncio Lima;Rodrigues Alves;Estadual;Pública;64;Até 100 km;Péssimo
502;AC-010;-;AC;Norte;Porto Acre;Rio Branco;Estadual;Pública;66;Até 100 km;Péssimo
501;AM-010;-;AM;Norte;Manaus;Itacoatiara;Estadual;Pública;253;Mais de 250 km até 500 km;Péssimo
500;BA-122;BR-122, BR-330, BR-349;BA;Nordeste;Morro do Chapéu;Seabra;Estadual;Pública;126;Mais de 100 km até 250 km;Péssimo
499;PE-177;-;PE;Nordeste;Quipapá;Garanhuns;Estadual;Pública;55;Até 100 km;Péssimo
498;PE-545;BR-122;PE;Nordeste;Exu;Ouricuri;Estadual;Pública;76;Até 100 km;Péssimo
497;MA-006;BR-330;MA;Nordeste;Buriticupu;Alto Parnaíba;Estadual;Pública;652;Mais de 500 km;Péssimo
496;PE-096;-;PE;Nordeste;Palmares;Barreiros;Estadual;Pública;50;Até 100 km;Péssimo
495;RJ-148;-;RJ;Sudeste;Carmo;Nova Friburgo;Estadual;Pública;63;Até 100 km;Péssimo
494;BR-364;BR-307;AC;Norte;Cruzeiro do Sul;Acrelândia;Federal;Pública;762;Mais de 500 km;Péssimo
493;TO-335;-;TO;Norte;Palmeirante;Couto Magalhães;Estadual;Pública;183;Mais de 100 km até 250 km;Péssimo
492;PE-126;-;PE;Nordeste;Palmares;Quipapá;Estadual;Pública;55;Até 100 km;Péssimo
491;RS-471;BR-471;RS;Sul;Pantano Grande;Canguçu;Estadual;Pública;128;Mais de 100 km até 250 km;Péssimo
490;PI-141;BR-324;PI;Nordeste;Eliseu Martins;São João do Piauí;Estadual;Pública;176;Mais de 100 km até 250 km;Péssimo
489;BR-421;-;RO;Norte;Ariquemes;Monte Negro;Federal;Pública;70;Até 100 km;Péssimo
488;PB-066;BR-408;PB;Nordeste;Ingá;Juripiranga;Estadual;Pública;54;Até 100 km;Péssimo
487;BA-142;BR-407;BA;Nordeste;Tanhaçu;Anagé;Estadual;Pública;57;Até 100 km;Péssimo
486;BR-155;-;PA;Norte;Marabá;Redenção;Federal;Pública;345;Mais de 250 km até 500 km;Péssimo
485;MG-190;-;MG;Sudeste;Abadia dos Dourados;Romaria;Estadual;Pública;58;Até 100 km;Péssimo
484;PB-386;BR-361;PB;Nordeste;Itaporanga;Conceição;Estadual;Pública;58;Até 100 km;Ruim
483;MG-462;BR-462;MG;Sudeste;Patrocínio;Perdizes;Estadual;Pública;69;Até 100 km;Ruim
482;BA-026;BR-030, BR-330, BR-407;BA;Nordeste;Maracás;Tanhaçu;Estadual;Pública;113;Mais de 100 km até 250 km;Ruim
481;SC-350;-;SC;Sul;Água Doce;Santa Cecília;Estadual;Pública;131;Mais de 100 km até 250 km;Ruim
480;MA-034;BR-222;MA;Nordeste;Tutóia;Brejo;Estadual;Pública;161;Mais de 100 km até 250 km;Ruim
479;GO-184;BR-158;GO;Centro-Oeste;Jataí;Aporé;Estadual;Pública;145;Mais de 100 km até 250 km;Ruim
478;PB-238;-;PB;Nordeste;Assunção;Teixeira;Estadual;Pública;74;Até 100 km;Ruim
477;TO-387;-;TO;Norte;Paranã;Jaú do Tocantins;Estadual;Pública;125;Mais de 100 km até 250 km;Ruim
476;PE-604;BR-122;PE;Nordeste;Ouricuri;Lagoa Grande;Estadual;Pública;127;Mais de 100 km até 250 km;Ruim
475;MA-106;BR-308;MA;Nordeste;Governador Nunes Freire;Alcântara;Estadual;Pública;239;Mais de 100 km até 250 km;Ruim
474;MS-377;-;MS;Centro-Oeste;Inocência;Água Clara;Estadual;Pública;128;Mais de 100 km até 250 km;Ruim
473;GO-142;-;GO;Centro-Oeste;Montividiu do Norte;Formoso;Estadual;Pública;75;Até 100 km;Ruim
472;RJ-155;BR-494;RJ;Sudeste;Barra Mansa;Angra dos Reis;Estadual;Pública;78;Até 100 km;Ruim
471;RS-640;-;RS;Sul;São Vicente do Sul;Rosário do Sul;Estadual;Pública;64;Até 100 km;Ruim
470;PE-265;BR-110;PE;Nordeste;Sertânia;Sertânia;Estadual;Pública;50;Até 100 km;Ruim
469;MS-240;-;MS;Centro-Oeste;Paranaíba;Inocência;Estadual;Pública;81;Até 100 km;Ruim
468;SC-135;-;SC;Sul;Caçador;Tangará;Estadual;Pública;58;Até 100 km;Ruim
467;BR-158;BR-060, BR-070, BR-364;GO;Centro-Oeste;Aragarças;Jataí;Federal;Pública;281;Mais de 250 km até 500 km;Ruim
466;SE-170;BR-349, SE-270;SE;Nordeste;Moita Bonita;Tobias Barreto;Estadual;Pública;101;Mais de 100 km até 250 km;Ruim
465;RS-377;BR-377;RS;Sul;Jóia;Alegrete;Estadual;Pública;232;Mais de 100 km até 250 km;Ruim
464;MA-006;BR-308;MA;Nordeste;Cururupu;Pinheiro;Estadual;Pública;98;Até 100 km;Ruim
463;PB-400;-;PB;Nordeste;Cajazeiras;Conceição;Estadual;Pública;102;Mais de 100 km até 250 km;Ruim
462;PE-275;BR-110;PE;Nordeste;Brejinho;Sertânia;Estadual;Pública;104;Mais de 100 km até 250 km;Ruim
461;GO-050;BR-060;GO;Centro-Oeste;Jataí;Chapadão do Céu;Estadual;Pública;126;Mais de 100 km até 250 km;Ruim
460;RS-472;BR-472;RS;Sul;Frederico Westphalen;Três Passos;Estadual;Pública;70;Até 100 km;Ruim
459;GO-330;BR-352, BR-457;GO;Centro-Oeste;Anápolis;Catalão;Estadual;Pública;219;Mais de 100 km até 250 km;Ruim
458;MG-482;BR-356, BR-482;MG;Sudeste;Conselheiro Lafaiete;Viçosa;Estadual;Pública;129;Mais de 100 km até 250 km;Ruim
457;MT-343;-;MT;Centro-Oeste;Arenápolis;Barra do Bugres;Estadual;Pública;78;Até 100 km;Ruim
456;PE-060;-;PE;Nordeste;Cabo de Santo Agostinho;Barreiros;Estadual;Pública;73;Até 100 km;Ruim
455;MG-290;-;MG;Sudeste;Pouso Alegre;Jacutinga;Estadual;Pública;98;Até 100 km;Ruim
454;MG-265;BR-265;MG;Sudeste;Ubá;Mercês;Estadual;Pública;68;Até 100 km;Ruim
453;PE-090;-;PE;Nordeste;Carpina;Vertentes;Estadual;Pública;94;Até 100 km;Ruim
452;RS-481;BR-481;RS;Sul;Cruz Alta;Novo Cabrais;Estadual;Pública;133;Mais de 100 km até 250 km;Ruim
451;TO-050;BR-010;TO;Norte;Palmas;Silvanópolis;Estadual;Pública;106;Mais de 100 km até 250 km;Ruim
450;SC-305;-;SC;Sul;São Lourenço do Oeste;Guaraciaba;Estadual;Pública;71;Até 100 km;Ruim
449;BR-352;-;MG;Sudeste;Abaeté;Pará de Minas;Federal;Pública;122;Mais de 100 km até 250 km;Ruim
448;GO-164;BR-483;GO;Centro-Oeste;Quirinópolis;São Simão;Estadual;Pública;70;Até 100 km;Ruim
447;MG-427;-;MG;Sudeste;Uberaba;Planura;Estadual;Pública;104;Mais de 100 km até 250 km;Ruim
446;BA-130;BR-407;BA;Nordeste;Capim Grosso;Boa Vista do Tupim;Estadual;Pública;161;Mais de 100 km até 250 km;Ruim
445;MG-267;BR-267, BR-383;MG;Sudeste;Campanha;Caxambu;Estadual;Pública;69;Até 100 km;Ruim
444;TO-498;-;TO;Norte;Peixe;Jaú do Tocantins;Estadual;Pública;79;Até 100 km;Ruim
443;PR-317;-;PR;Sul;Toledo;Santa Helena;Estadual;Pública;89;Até 100 km;Ruim
442;PR-092;BR-272;PR;Sul;Santo Antônio da Platina;Jaguariaíva;Estadual;Pública;128;Mais de 100 km até 250 km;Ruim
441;AP-010;-;AP;Norte;Macapá;Mazagão;Estadual;Pública;70;Até 100 km;Ruim
440;PA-150;-;PA;Norte;Tailândia;Marabá;Estadual;Pública;333;Mais de 250 km até 500 km;Ruim
439;BR-158;-;PA;Norte;Redenção;Santana do Araguaia;Federal;Pública;306;Mais de 250 km até 500 km;Ruim
438;RS-020;-;RS;Sul;Três Coroas;Gravataí;Estadual;Pública;62;Até 100 km;Ruim
437;RN-118;-;RN;Nordeste;Macau;Itajá;Estadual;Pública;73;Até 100 km;Ruim
436;MG-383;BR-383;MG;Sudeste;Madre de Deus de Minas;Cruzília;Estadual;Pública;69;Até 100 km;Ruim
435;GO-341;BR-359;GO;Centro-Oeste;Mineiros;Mineiros;Estadual;Pública;113;Mais de 100 km até 250 km;Ruim
434;PA-287;-;PA;Norte;Redenção;Conceição do Araguaia;Estadual;Pública;98;Até 100 km;Ruim
433;MG-482;BR-482;MG;Sudeste;Espera Feliz;Fervedouro;Estadual;Pública;63;Até 100 km;Ruim
432;BA-130;BR-330;BA;Nordeste;Maracás;Jequié;Estadual;Pública;68;Até 100 km;Ruim
431;SC-283;BR-283;SC;Sul;Palmitos;Concórdia;Estadual;Pública;164;Mais de 100 km até 250 km;Ruim
430;BA-161;-;BA;Nordeste;Bom Jesus da Lapa;Carinhanha;Estadual;Pública;129;Mais de 100 km até 250 km;Ruim
429;RSC-101;BR-101;RS;Sul;Capivari do Sul;São José do Norte;Estadual;Pública;243;Mais de 100 km até 250 km;Ruim
428;BR-174;BR-319;AM;Norte;Presidente Figueiredo;Borba;Federal;Pública;470;Mais de 250 km até 500 km;Ruim
427;GO-206;BR-154, BR-483;GO;Centro-Oeste;Itumbiara;Itarumã;Estadual;Pública;226;Mais de 100 km até 250 km;Ruim
426;ES-137;BR-381;ES;Sudeste;Nova Venécia;São Domingos do Norte;Estadual;Pública;63;Até 100 km;Ruim
425;PE-360;-;PE;Nordeste;Ibimirim;Floresta;Estadual;Pública;101;Mais de 100 km até 250 km;Ruim
424;MG-383;BR-383, BR-494;MG;Sudeste;Congonhas;São João del Rei;Estadual;Pública;108;Mais de 100 km até 250 km;Ruim
423;TO-020;BR-010;TO;Norte;Aparecida do Rio Negro;Palmas;Estadual;Pública;66;Até 100 km;Ruim
422;MG-381;BR-381;MG;Sudeste;Mantena;Galiléia;Estadual;Pública;109;Mais de 100 km até 250 km;Ruim
421;BR-317;-;AC;Norte;Senador Guiomard;Assis Brasil;Federal;Pública;412;Mais de 250 km até 500 km;Ruim
420;RJ-130;BR-492;RJ;Sudeste;Nova Friburgo;Teresópolis;Estadual;Pública;70;Até 100 km;Ruim
419;MG-401;-;MG;Sudeste;Jaíba;Janaúba;Estadual;Pública;86;Até 100 km;Ruim
418;MG-354;BR-354;MG;Sudeste;Guarda-Mor;Patos de Minas;Estadual;Pública;133;Mais de 100 km até 250 km;Ruim
417;BR-317;-;AM;Norte;Boca do Acre;Lábrea;Federal;Pública;70;Até 100 km;Ruim
416;BR-424;-;PE;Nordeste;Arcoverde;Correntes;Federal;Pública;135;Mais de 100 km até 250 km;Ruim
415;BA-330;BR-330;BA;Nordeste;Gentio do Ouro;Gentio do Ouro;Estadual;Pública;54;Até 100 km;Ruim
414;BR-158;-;PR;Sul;Palmital;Laranjeiras do Sul;Federal;Pública;75;Até 100 km;Ruim
413;MG-188;BR-354;MG;Sudeste;Unaí;Patrocínio;Estadual;Pública;311;Mais de 250 km até 500 km;Ruim
412;MG-122;BR-122;MG;Sudeste;Espinosa;Francisco Sá;Estadual;Pública;263;Mais de 250 km até 500 km;Ruim
411;RSC-453;BR-453;RS;Sul;São Francisco de Paula;Caxias do Sul;Estadual;Pública;53;Até 100 km;Ruim
410;BR-153;BR-280, BR-476;PR;Sul;Imbituva;General Carneiro;Federal;Pública;226;Mais de 100 km até 250 km;Ruim
409;BR-420;BR-101;BA;Nordeste;Santo Antônio de Jesus;Jaguaquara;Federal;Pública;151;Mais de 100 km até 250 km;Ruim
408;TO-010;-;TO;Norte;Lajeado;Palmas;Estadual;Pública;62;Até 100 km;Ruim
407;MG-369;BR-369;MG;Sudeste;Oliveira;Alfenas;Estadual;Pública;172;Mais de 100 km até 250 km;Ruim
406;SC-480;BR-480;SC;Sul;São Lourenço do Oeste;Chapecó;Estadual;Pública;129;Mais de 100 km até 250 km;Ruim
405;SP-171;-;SP;Sudeste;Guaratinguetá;Cunha;Estadual;Pública;71;Até 100 km;Ruim
404;BR-319;BR-174, BR-230;AM;Norte;Careiro da Várzea;Canutama;Federal;Pública;402;Mais de 250 km até 500 km;Ruim
403;BR-122;BR-116;CE;Nordeste;Chorozinho;Solonópole;Federal;Pública;210;Mais de 100 km até 250 km;Ruim
402;MG-460;BR-460;MG;Sudeste;Cambuquira;Pouso Alto;Estadual;Pública;79;Até 100 km;Ruim
401;RS-324;-;RS;Sul;Passo Fundo;Nova Prata;Estadual;Pública;113;Mais de 100 km até 250 km;Ruim
400;RS-030;-;RS;Sul;Gravataí;Tramandaí;Estadual;Pública;98;Até 100 km;Ruim
399;MG-497;BR-464, BR-497;MG;Sudeste;Uberlândia;Carneirinho;Estadual;Pública;309;Mais de 250 km até 500 km;Ruim
398;MT-449;-;MT;Centro-Oeste;Tapurah;Lucas do Rio Verde;Estadual;Concessionada;73;Até 100 km;Ruim
397;CE-375;BR-122;CE;Nordeste;Solonópole;Quixelô;Estadual;Pública;66;Até 100 km;Ruim
396;MG-452;BR-452;MG;Sudeste;Araporã;Nova Ponte;Estadual;Pública;155;Mais de 100 km até 250 km;Ruim
395;RJ-158;BR-492;RJ;Sudeste;São Fidélis;Campos dos Goytacazes;Estadual;Pública;62;Até 100 km;Ruim
394;RS-472;BR-472;RS;Sul;Santo Cristo;Porto Xavier;Estadual;Pública;60;Até 100 km;Ruim
393;PI-140;BR-324;PI;Nordeste;Floriano;Dirceu Arcoverde;Estadual;Pública;320;Mais de 250 km até 500 km;Ruim
392;BR-383;BR-459;MG;Sudeste;Itajubá;Delfim Moreira;Federal;Pública;53;Até 100 km;Ruim
391;RJ-186;BR-393, BR-484;RJ;Sudeste;Bom Jesus do Itabapoana;Santo Antônio de Pádua;Estadual;Pública;103;Mais de 100 km até 250 km;Ruim
390;ES-010;-;ES;Sudeste;Aracruz;Serra;Estadual;Pública;60;Até 100 km;Ruim
389;SP-079;BR-478;SP;Sudeste;Sorocaba;Juquiá;Estadual;Pública;122;Mais de 100 km até 250 km;Ruim
388;BR-435;BR-364;RO;Norte;Vilhena;Pimenteiras do Oeste;Federal;Pública;176;Mais de 100 km até 250 km;Ruim
387;RS-235;-;RS;Sul;Nova Petrópolis;São Francisco de Paula;Estadual;Concessionada;75;Até 100 km;Regular
386;GO-010;BR-457;GO;Centro-Oeste;Luziânia;Goiânia;Estadual;Pública;184;Mais de 100 km até 250 km;Regular
385;TO-280;BR-010;TO;Norte;Almas;Peixe;Estadual;Pública;180;Mais de 100 km até 250 km;Regular
384;GO-174;-;GO;Centro-Oeste;Iporá;Rio Verde;Estadual;Pública;170;Mais de 100 km até 250 km;Regular
383;BR-153;BR-230;PA;Norte;Marabá;São Geraldo do Araguaia;Federal;Pública;153;Mais de 100 km até 250 km;Regular
382;BR-222;BR-010;PA;Norte;Dom Eliseu;Marabá;Federal;Pública;246;Mais de 100 km até 250 km;Regular
381;MG-179;-;MG;Sudeste;Alfenas;Pouso Alegre;Estadual;Pública;104;Mais de 100 km até 250 km;Regular
380;MT-358;-;MT;Centro-Oeste;Tangará da Serra;Barra do Bugres;Estadual;Pública;127;Mais de 100 km até 250 km;Regular
379;BR-354;BR-267, BR-383;MG;Sudeste;Baependi;Itamonte;Federal;Pública;84;Até 100 km;Regular
378;MT-235;-;MT;Centro-Oeste;Sapezal;Campo Novo do Parecis;Estadual;Pública;105;Mais de 100 km até 250 km;Regular
377;MG-262;-;MG;Sudeste;Mariana;Ponte Nova;Estadual;Pública;73;Até 100 km;Regular
376;BR-352;-;MG;Sudeste;Abadia dos Dourados;Coromandel;Federal;Pública;67;Até 100 km;Regular
375;PR-317;-;PR;Sul;Santo Inácio;Maringá;Estadual;Pública;94;Até 100 km;Regular
374;MG-455;BR-455;MG;Sudeste;Uberlândia;Planura;Estadual;Pública;106;Mais de 100 km até 250 km;Regular
373;BR-226;BR-116;CE;Nordeste;Crateús;Pereiro;Federal;Pública;270;Mais de 250 km até 500 km;Regular
372;RJ-106;-;RJ;Sudeste;São Pedro da Aldeia;São Gonçalo;Estadual;Pública;112;Mais de 100 km até 250 km;Regular
371;MG-259;BR-259, BR-367;MG;Sudeste;Felixlândia;Governador Valadares;Estadual;Pública;409;Mais de 250 km até 500 km;Regular
370;MG-135;BR-135;MG;Sudeste;São João das Missões;Montes Claros;Estadual;Pública;241;Mais de 100 km até 250 km;Regular
369;MG-367;BR-367, BR-451;MG;Sudeste;Turmalina;Datas;Estadual;Pública;190;Mais de 100 km até 250 km;Regular
368;MG-120;BR-120, BR-356, BR-451;MG;Sudeste;Capelinha;Visconde do Rio Branco;Estadual;Pública;498;Mais de 250 km até 500 km;Regular
367;PR-170;-;PR;Sul;Guarapuava;General Carneiro;Estadual;Pública;178;Mais de 100 km até 250 km;Regular
366;CE-060;-;CE;Nordeste;Quixadá;Senador Pompeu;Estadual;Pública;82;Até 100 km;Regular
365;MT-246;-;MT;Centro-Oeste;Barra do Bugres;Jangada;Estadual;Pública;85;Até 100 km;Regular
364;MG-491;BR-491;MG;Sudeste;São Sebastião do Paraíso;Três Corações;Estadual;Pública;229;Mais de 100 km até 250 km;Regular
363;PR-280;BR-280;PR;Sul;Marmeleiro;General Carneiro;Estadual;Pública;175;Mais de 100 km até 250 km;Regular
362;PR-082;BR-487;PR;Sul;Alto Paraíso;Umuarama;Estadual;Pública;78;Até 100 km;Regular
361;TO-080;-;TO;Norte;Caseara;Palmas;Estadual;Pública;262;Mais de 250 km até 500 km;Regular
360;BR-472;BR-290, BR-293;RS;Sul;São Borja;Barra do Quaraí;Federal;Pública;251;Mais de 250 km até 500 km;Regular
359;BR-280;-;SC;Sul;São Francisco do Sul;Porto União;Federal;Pública;301;Mais de 250 km até 500 km;Regular
358;TO-336;-;TO;Norte;Couto Magalhães;Guaraí;Estadual;Pública;117;Mais de 100 km até 250 km;Regular
357;BR-430;BR-349;BA;Nordeste;Bom Jesus da Lapa;Caetité;Federal;Pública;153;Mais de 100 km até 250 km;Regular
356;SC-157;-;SC;Sul;São Lourenço do Oeste;Chapecó;Estadual;Pública;95;Até 100 km;Regular
355;GO-020;BR-352;GO;Centro-Oeste;Goiânia;Urutaí;Estadual;Pública;149;Mais de 100 km até 250 km;Regular
354;TO-040;-;TO;Norte;Almas;Ponte Alta do Bom Jesus;Estadual;Pública;113;Mais de 100 km até 250 km;Regular
353;MS-134;BR-376;MS;Centro-Oeste;Nova Andradina;Batayporã;Estadual;Pública;66;Até 100 km;Regular
352;MG-123;BR-262;MG;Sudeste;João Monlevade;Dom Silvério;Estadual;Pública;55;Até 100 km;Regular
351;PA-150;-;PA;Norte;Marituba;Barcarena;Estadual;Pública;70;Até 100 km;Regular
350;BR-474;-;MG;Sudeste;Aimorés;Caratinga;Federal;Pública;151;Mais de 100 km até 250 km;Regular
349;BR-251;-;MG;Sudeste;Unaí;Unaí;Federal;Pública;92;Até 100 km;Regular
348;CE-187;BR-403;CE;Nordeste;Ipu;Crateús;Estadual;Pública;117;Mais de 100 km até 250 km;Regular
347;BR-222;BR-010, BR-135, BR-316;MA;Nordeste;Chapadinha;Itinga do Maranhão;Federal;Pública;665;Mais de 500 km;Regular
346;BR-156;BR-210;AP;Norte;Oiapoque;Macapá;Federal;Pública;442;Mais de 250 km até 500 km;Regular
345;BR-402;BR-403;CE;Nordeste;Marco;Umirim;Federal;Pública;124;Mais de 100 km até 250 km;Regular
344;CE-085;BR-402;CE;Nordeste;Cruz;Chaval;Estadual;Pública;144;Mais de 100 km até 250 km;Regular
343;BR-361;BR-426;PB;Nordeste;Patos;Itaporanga;Federal;Pública;114;Mais de 100 km até 250 km;Regular
342;BR-367;BR-342;MG;Sudeste;Jacinto;Araçuaí;Federal;Pública;228;Mais de 100 km até 250 km;Regular
341;BR-153;-;SC;Sul;Água Doce;Concórdia;Federal;Pública;119;Mais de 100 km até 250 km;Regular
340;MG-342;BR-342;MG;Sudeste;Salinas;Araçuaí;Estadual;Pública;108;Mais de 100 km até 250 km;Regular
339;BR-280;BR-163, BR-373;PR;Sul;Marmeleiro;Barracão;Federal;Pública;72;Até 100 km;Regular
338;SE-270;BR-349;SE;Nordeste;Simão Dias;Itaporanga d'Ajuda;Estadual;Pública;62;Até 100 km;Regular
337;ES-381;BR-381;ES;Sudeste;São Mateus;Barra de São Francisco;Estadual;Pública;112;Mais de 100 km até 250 km;Regular
336;BR-116;BR-324;BA;Nordeste;Abaré;Feira de Santana;Federal;Pública;436;Mais de 250 km até 500 km;Regular
335;BR-101;BR-040, BR-116, BR-459, BR-465, BR-494;RJ;Sudeste;Rio de Janeiro;Paraty;Federal;Pública;264;Mais de 250 km até 500 km;Regular
334;BR-122;BR-030;BA;Nordeste;Caetité;Urandi;Federal;Pública;152;Mais de 100 km até 250 km;Regular
333;BR-470;BR-285, BR-453;RS;Sul;Barracão;São Jerônimo;Federal;Pública;293;Mais de 250 km até 500 km;Regular
332;BR-470;BR-282, BR-283, BR-477;SC;Sul;Navegantes;Campos Novos;Federal;Pública;359;Mais de 250 km até 500 km;Regular
331;BR-476;BR-153, BR-277, BR-376;PR;Sul;Adrianópolis;União da Vitória;Federal;Pública;314;Mais de 250 km até 500 km;Regular
330;BR-342;-;ES;Sudeste;Ecoporanga;Nova Venécia;Federal;Pública;62;Até 100 km;Regular
329;CE-362;-;CE;Nordeste;Granja;Sobral;Estadual;Pública;101;Mais de 100 km até 250 km;Regular
328;BA-131;-;BA;Nordeste;Jacobina;Piritiba;Estadual;Pública;66;Até 100 km;Regular
327;CE-292;BR-122, BR-230;CE;Nordeste;Salitre;Juazeiro do Norte;Estadual;Pública;153;Mais de 100 km até 250 km;Regular
