,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONCORDIA,"(-52.026, -27.2335)",,,20.0,7.426,0.172,30.0,7.386,0.333
SAO JERONIMO,"(-51.7251, -29.9716)",,,6.0,,,,,
CAMPOS NOVOS,"(-51.2276, -27.4002)",,,10.0,,,,,
BARROS CASSAL,"(-52.5836, -29.0947)",,,2.0,,,,,
VERA CRUZ,"(-52.5152, -29.7184)",,,1.0,,,,,
VENANCIO AIRES,"(-52.1932, -29.6143)",,,27.0,,,,,
IBIRUBA,"(-53.0961, -28.6302)",,,6.0,,,,,
ENCANTADO,"(-51.8703, -29.2351)",,,9.0,,,,,
MANCIO LIMA,"(-72.8997, -7.61657)",,,6.0,,,,,
RODRIGUES ALVES,"(-72.661, -7.73864)",,,3.0,,,,,
PORTO ACRE,"(-67.5478, -9.58138)",,,7.0,,,,,
MORRO DO CHAPEU,"(-41.1565, -11.5488)",,,12.0,,,,,
SEABRA,"(-41.7722, -12.4169)",,,13.0,,,,,
PIRITIBA,"(-40.5587, -11.73)",,,7.0,,,,,
QUIPAPA,"(-36.0137, -8.81175)",,,5.0,,,,,
GARANHUNS,"(-36.4966, -8.88243)",,,36.0,7.2,0.197,48.0,7.29,0.566
CORRENTES,"(-36.3244, -9.12117)",,,3.0,,,,,
SAO JOSE DA LAJE,"(-36.0515, -9.01278)",,,3.0,,,,,
XEXEU,"(-35.6212, -8.8046)",,,2.0,,,,,
EXU,"(-39.7238, -7.50364)",,,9.0,,,,,
OURICURI,"(-40.08, -7.87918)",,,19.0,,,,,
JUAZEIRO DO NORTE,"(-39.3076, -7.19621)",,,63.0,7.572,0.243,41.0,7.544,0.445
FARIAS BRITO,"(-39.5651, -6.92146)",,,7.0,,,,,
LAGOA GRANDE,"(-40.2767, -8.99452)",,,7.0,,,,,
BURITICUPU,"(-46.4409, -4.32375)",,,19.0,,,,,
ALTO PARNAIBA,"(-45.9303, -9.10273)",,,4.0,,,,,
PALMARES,"(-35.589, -8.68423)",,,10.0,,,,,
BARREIROS,"(-35.1832, -8.81605)",,,3.0,,,,,
CARMO,"(-42.6046, -21.931)",,,4.0,,,,,
NOVA FRIBURGO,"(-42.5377, -22.2932)",,,38.0,7.776,0.191,68.0,7.026,0.303
TERESOPOLIS,"(-42.9752, -22.4165)",,,35.0,7.534,0.193,56.0,,
SANTO ANTONIO DE PADUA,"(-42.1832, -21.541)",,,12.0,7.813,0.134,20.0,6.904,0.304
ALEM PARAIBA,"(-42.7176, -21.8797)",,,8.0,,,,,
SIMAO PEREIRA,"(-43.3088, -21.964)",,,1.0,,,,,
RESENDE,"(-44.4509, -22.4705)",,,22.0,7.731,0.129,54.0,7.105,0.317
ITABORAI,"(-42.8639, -22.7565)",,,31.0,7.578,0.189,36.0,7.03,0.399
ACRELANDIA,"(-66.8972, -9.82581)",,,3.0,,,,,
PALMEIRANTE,"(-47.9242, -7.84786)",,,1.0,,,,,
COUTO MAGALHAES,"(-49.2473, -8.28411)",,,,,,,,
FILADELFIA,"(-47.4954, -7.33501)",,,3.0,,,,,
CONCEICAO DO ARAGUAIA,"(-49.2689, -8.26136)",,,15.0,8.067,0.247,24.0,7.951,0.381
GUARAI,"(-48.5114, -8.83543)",,,4.0,,,,,
PANTANO GRANDE,"(-52.3729, -30.1902)",,,4.0,,,,,
CANGUCU,"(-52.6783, -31.396)",,,25.0,,,,,
ELISEU MARTINS,"(-43.6705, -8.09629)",,,3.0,,,,,
SAO JOAO DO PIAUI,"(-42.2559, -8.35466)",,,10.0,,,,,
BERTOLINIA,"(-43.9498, -7.63338)",,,4.0,,,,,
ARIQUEMES,"(-63.0325, -9.90571)",,,29.0,7.298,0.155,35.0,7.583,0.293
MONTE NEGRO,"(-63.29, -10.2458)",,,2.0,,,,,
INGA,"(-35.605, -7.28144)",,,3.0,,,,,
JURIPIRANGA,"(-35.2321, -7.36176)",,,1.0,,,,,
ALCANTIL,"(-36.0511, -7.73668)",,,1.0,,,,,
TANHACU,"(-41.2473, -14.0197)",,,5.0,,,,,
ANAGE,"(-41.1356, -14.6151)",,,7.0,,,,,
CARINHANHA,"(-43.7724, -14.2985)",,,7.0,,,,,
REDENCAO,"(-50.0317, -8.02529)",,,5.0,7.82,0.124,12.0,7.632,0.347
SAO GERALDO DO ARAGUAIA,"(-48.5592, -6.39471)",,,8.0,,,,,
SANTANA DO ARAGUAIA,"(-50.35, -9.3281)",,,15.0,,,,,
ABADIA DOS DOURADOS,"(-47.3916, -18.4831)",,,4.0,,,,,
ROMARIA,"(-47.5782, -18.8838)",,,2.0,,,,,
CATALAO,"(-47.944, -18.1656)",,,30.0,7.444,0.096,38.0,7.208,0.413
PATROCINIO,"(-46.9934, -18.9379)",,,23.0,7.736,0.219,35.0,7.388,0.392
COROMANDEL,"(-47.1933, -18.4734)",,,8.0,,,,,
PERDIZES,"(-47.2963, -19.3434)",,,6.0,,,,,
PATOS DE MINAS,"(-46.5013, -18.5699)",,,36.0,7.632,0.126,40.0,7.29,0.415
ITAPORANGA,"(-49.4819, -23.7043)",,,9.0,,,,,
CONCEICAO,"(-38.5014, -7.55106)",,,5.0,,,,,
MARIZOPOLIS,"(-38.3528, -6.82748)",,,2.0,,,,,
PERDOES,"(-45.0896, -21.0932)",,,9.0,,,,,
ARAPUA,"(-46.1484, -19.0268)",,,2.0,,,,,
MARACAS,"(-40.4323, -13.4355)",,,9.0,,,,,
