MUNICIPIO ORIGEM,UF ORIGEM,MUNICIPIO DESTINO,UF DESTINO,VOLUME (M3),%
CURITIBA,PR,GUARAPUAVA,PR,3100,4.83651E-05
TRIUNFO,RS,TUBARAO,SC,2960,4.61809E-05
SANTOS,SP,SAO JOSE DO RIO PRETO,SP,2757,4.30138E-05
ITAJAI,SC,GUARAMIRIM,SC,2568,4.00651E-05
SANTOS,SP,OURINHOS,SP,2524,3.93786E-05
SAO PAULO,SP,FORTALEZA,CE,2394,3.73504E-05
SAO FRANCISCO DO CONDE,BA,VILA VELHA,ES,2351,3.66795E-05
BRASILIA,DF,RIBEIRAO PRETO,SP,2286,3.56654E-05
ITAJAI,SC,TUBARAO,SC,2054,3.20458E-05
CABO DE SANTO AGOSTINHO,PE,CANOAS,RS,2021,3.15309E-05
SALVADOR,BA,JUAZEIRO,BA,2000,3.12033E-05
PARANAGUA,PR,RENASCENCA,PR,1996,3.11409E-05
ARAXA,MG,BETIM,MG,1986,3.09849E-05
CABO DE SANTO AGOSTINHO,PE,VILA VELHA,ES,1767,2.75681E-05
RIO GRANDE,RS,LAJEADO,RS,1738,2.71157E-05
SAO FRANCISCO DO CONDE,BA,SERRA,ES,1684,2.62732E-05
CAMACARI,BA,CORONEL BARROS,RS,1678,2.61796E-05
SAO LUIS GONZAGA DO MARANHAO,MA,SAO LUIS,MA,1564,2.4401E-05
CAMACARI,BA,JEQUIE,BA,1510,2.35585E-05
VITORIA DE SANTO ANTAO,PE,NOSSA SENHORA DO SOCORRO,SE,1470,2.29344E-05
CABO DE SANTO AGOSTINHO,PE,RIBEIRAO PRETO,SP,1468,2.29032E-05
SAO JOSE DOS CAMPOS,SP,GUARULHOS,SP,1429,2.22948E-05
CAMACARI,BA,VILA VELHA,ES,1387,2.16395E-05
CABO DE SANTO AGOSTINHO,PE,ESTEIO,RS,1335,2.08282E-05
CURITIBA,PR,RIBEIRAO PRETO,SP,1314,2.05006E-05
TRIUNFO,RS,CORONEL BARROS,RS,1303,2.0329E-05
CABO DE SANTO AGOSTINHO,PE,SERRA,ES,1285,2.00481E-05
CABO DE SANTO AGOSTINHO,PE,SAO JOSE DOS CAMPOS,SP,1188,1.85348E-05
SAO FRANCISCO DO CONDE,BA,MONTES CLAROS,MG,1159,1.80823E-05
GUARAMIRIM,SC,BRUSQUE,SC,1136,1.77235E-05
CABO DE SANTO AGOSTINHO,PE,CORONEL BARROS,RS,1134,1.76923E-05
FORTALEZA,CE,MARACANAU,CE,1036,1.61633E-05
SAO LUIS,MA,ACAILANDIA,MA,1027,1.60229E-05
CABO DE SANTO AGOSTINHO,PE,FEIRA DE SANTANA,BA,1001,1.56173E-05
TRIUNFO,RS,SARANDI,PR,979,1.5274E-05
CURITIBA,PR,GUARULHOS,SP,860,1.34174E-05
PARANAGUA,PR,JARDINOPOLIS,SP,810,1.26373E-05
SAO FRANCISCO DO CONDE,BA,UBERLANDIA,MG,571,8.90855E-06
SAO PAULO,SP,SARANDI,PR,533,8.31568E-06
SAO FRANCISCO DO CONDE,BA,BETIM,MG,517,8.06606E-06
CABO DE SANTO AGOSTINHO,PE,MONTES CLAROS,MG,452,7.05195E-06
CURITIBA,PR,JARDINOPOLIS,SP,416,6.49029E-06
CABO DE SANTO AGOSTINHO,PE,CABEDELO,PB,397,6.19386E-06
ITAJAI,SC,LAGES,SC,392,6.11585E-06
RIO GRANDE,RS,SAO JOSE DOS CAMPOS,SP,365,5.6946E-06
BRASILIA,DF,PAULINIA,SP,349,5.44498E-06
CABO DE SANTO AGOSTINHO,PE,CRATO,CE,268,4.18124E-06
BARRETOS,SP,SENADOR CANEDO,GO,258,4.02523E-06
SANTA HELENA DE GOIAS,GO,SENADOR CANEDO,GO,237,3.69759E-06
CABO DE SANTO AGOSTINHO,PE,VITORIA,ES,186,2.90191E-06
NOSSA SENHORA DAS GRACAS,PR,ARAUCARIA,PR,175,2.73029E-06
PAULINIA,SP,ARAUCARIA,PR,149,2.32465E-06
CASCAVEL,PR,ARAUCARIA,PR,148,2.30904E-06
SAO LUIS,MA,PEDREIRAS,MA,126,1.96581E-06
CAMACARI,BA,ESTEIO,RS,124,1.93461E-06
MOSSORO,RN,CABEDELO,PB,110,1.71618E-06
SANTA TEREZA DE GOIAS,GO,SENADOR CANEDO,GO,102,1.59137E-06
ITAPACI,GO,SENADOR CANEDO,GO,100,1.56017E-06
EDEIA,GO,GOIANIA,GO,84,1.31054E-06
SAO LUIS,MA,GURUPI,TO,74,1.15452E-06
ITUMBIARA,GO,UBERLANDIA,MG,70,1.09212E-06
OURIZONA,PR,ARAUCARIA,PR,69,1.07651E-06
BIGUACU,SC,ITAJAI,SC,65,1.01411E-06
CURITIBA,PR,VITORIA,ES,60,9.36099E-07
ITUIUTABA,MG,UBERLANDIA,MG,55,8.58091E-07
PARANAGUA,PR,TUBARAO,SC,43,6.70871E-07
SAO JOSE DOS CAMPOS,SP,DUQUE DE CAXIAS,RJ,43,6.70871E-07
CABO DE SANTO AGOSTINHO,PE,IJUI,RS,42,6.5527E-07
CURITIBA,PR,UMUARAMA,PR,38,5.92863E-07
CABO DE SANTO AGOSTINHO,PE,CRUZ ALTA,RS,33,5.14855E-07
CUBATAO,SP,SAO PAULO,SP,32,4.99253E-07
EIRUNEPE,AM,MANAUS,AM,30,4.6805E-07
PORTO NACIONAL,TO,GURUPI,TO,30,4.6805E-07
RONDONOPOLIS,MT,CUIABA,MT,25,3.90041E-07
RIO CLARO,RJ,DUQUE DE CAXIAS,RJ,20,3.12033E-07
PEDRO GOMES,MS,CAMPO GRANDE,MS,17,2.65228E-07
CUBATAO,SP,ARAUCARIA,PR,16,2.49626E-07
CAARAPO,MS,CAMPO GRANDE,MS,15,2.34025E-07
GOIANIA,GO,SENADOR CANEDO,GO,15,2.34025E-07
PATROCINIO PAULISTA,SP,JARDINOPOLIS,SP,15,2.34025E-07
RIO BRANCO DO SUL,PR,ARAUCARIA,PR,15,2.34025E-07
JUSSARA,GO,SENADOR CANEDO,GO,14,2.18423E-07
PALMAS DE MONTE ALTO,BA,JEQUIE,BA,12,1.8722E-07
RIO VERDE,GO,SENADOR CANEDO,GO,12,1.8722E-07
ARAGUAINA,TO,PORTO NACIONAL,TO,10,1.56017E-07
ARMACAO DOS BUZIOS,RJ,DUQUE DE CAXIAS,RJ,10,1.56017E-07
CABO FRIO,RJ,DUQUE DE CAXIAS,RJ,10,1.56017E-07
QUIXADA,CE,FORTALEZA,CE,10,1.56017E-07
SANTOS,SP,JARDINOPOLIS,SP,10,1.56017E-07
PIRAJU,SP,RIBEIRAO PRETO,SP,10,1.56017E-07
CANOAS,RS,MONTENEGRO,RS,9,1.40415E-07
SAO SEBASTIAO DA BOA VISTA,PA,BELEM,PA,8,1.24813E-07
PRATA,MG,UBERLANDIA,MG,7,1.09212E-07
ANAPOLIS,GO,SENADOR CANEDO,GO,6,9.36099E-08
TUCURUI,PA,BELEM,PA,6,9.36099E-08
PIRACANJUBA,GO,SENADOR CANEDO,GO,5,7.80083E-08
ANASTACIO,MS,CAMPO GRANDE,MS,5,7.80083E-08
BARUERI,SP,JARDINOPOLIS,SP,5,7.80083E-08
BREU BRANCO,PA,BELEM,PA,5,7.80083E-08
CAUCAIA,CE,FORTALEZA,CE,5,7.80083E-08
PAULO RAMOS,MA,SAO LUIS,MA,5,7.80083E-08
RANCHARIA,SP,PRESIDENTE PRUDENTE,SP,5,7.80083E-08
RIACHAO DAS NEVES,BA,FEIRA DE SANTANA,BA,5,7.80083E-08
SALVADOR,BA,FEIRA DE SANTANA,BA,5,7.80083E-08
SAO JOSE DE RIBAMAR,MA,CAXIAS,MA,5,7.80083E-08
SAO JOSE DO RIO PRETO,SP,SAO JOSE DO RIO PRETO,SP,5,7.80083E-08
FEIRA DE SANTANA,BA,CANDEIAS,BA,5,7.80083E-08
JUAZEIRO,BA,JUAZEIRO,BA,5,7.80083E-08
MOSSORO,RN,GUAMARE,RN,5,7.80083E-08
RAUL SOARES,MG,BETIM,MG,5,7.80083E-08
SIMOES FILHO,BA,CANDEIAS,BA,5,7.80083E-08
TARABAI,SP,RIBEIRAO PRETO,SP,4,6.24066E-08
ITAPARICA,BA,FEIRA DE SANTANA,BA,4,6.24066E-08
PALHOCA,SC,ITAJAI,SC,4,6.24066E-08
DAMOLANDIA,GO,SENADOR CANEDO,GO,3,4.6805E-08
BENEDITO NOVO,SC,ITAJAI,SC,3,4.6805E-08
SAO BENTO DO SUL,SC,ARAUCARIA,PR,2,3.12033E-08
BOM JESUS DE GOIAS,GO,SENADOR CANEDO,GO,2,3.12033E-08
BRAZABRANTES,GO,SENADOR CANEDO,GO,2,3.12033E-08
LEOPOLDO DE BULHOES,GO,SENADOR CANEDO,GO,2,3.12033E-08
BAIANOPOLIS,BA,CANDEIAS,BA,2,3.12033E-08
RIO GRANDE,RS,ARAUCARIA,PR,1,1.56017E-08
MARACANAU,CE,MARACANAU,CE,1,1.56017E-08
CAMPO GRANDE,MS,CAMPO GRANDE,MS,1,1.56017E-08
SINOP,MT,SINOP,MT,1,1.56017E-08
FLORIDA PAULISTA,SP,RIBEIRAO PRETO,SP,1,1.56017E-08
COTRIGUACU,MT,SINOP,MT,0,0
PRESIDENTE PRUDENTE,SP,SINOP,MT,0,0
VILHENA,RO,SINOP,MT,0,0
