,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
DIST DUQUE DE CAXIAS,"(-43.3049, -22.7858)",,,,,,
CONS DUQUE DE CAXIAS,"(array([-43.3049]), array([-22.7858]))",,7.613,0.201,90.0,6.994,0.349
CONS RIO GRANDE,"(-52.1071, -32.0349)",3.0,6.874,0.164,67.0,7.22,0.401
CONS RENASCENCA,"(array([-52.9703]), array([-26.1588]))",,,,,,
DIST CIANORTE,"(-52.6054, -23.6599)",,,,,,
CONS ARAUCARIA,"(array([-49.4047]), array([-25.5859]))",,7.183,0.212,40.0,6.965,0.348
CONS BARUERI,"(-46.879, -23.5057)",34.0,7.006,0.459,85.0,6.99,0.283
DIST GUAMARE,"(-36.3222, -5.10619)",,,,,,
DIST PARNAMIRIM,"(-35.271, -5.91116)",,,,,,
CONS GUAMARE,"(array([-36.3222]), array([-5.10619]))",,,,,,
CONS PARNAMIRIM,"(-39.5795, -8.08729)",35.0,7.494,0.229,49.0,7.509,0.358
CONS SAO JOSE DOS CAMPOS,"(-45.8841, -23.1896)",129.0,6.578,0.19,68.0,6.887,0.404
CONS SENADOR CANEDO,"(array([-49.0914]), array([-16.7084]))",,,,,,
DIST PASSO FUNDO,"(-52.4091, -28.2576)",,,,,,
CONS PASSO FUNDO,"(-52.4091, -28.2576)",39.0,6.973,0.138,45.0,7.004,0.404
CONS GUARULHOS,"(-46.5333, -23.4538)",62.0,6.87,0.235,100.0,6.965,0.351
CONS CRUZ ALTA,"(-53.6048, -28.645)",22.0,7.234,0.106,45.0,6.928,0.377
DIST TRIUNFO,"(-51.7075, -29.9291)",,,,,,
CONS TRIUNFO,"(array([-51.7075]), array([-29.9291]))",,,,,,
CONS LAGES,"(array([-50.3259]), array([-27.815]))",,7.293,0.232,45.0,7.067,0.368
DIST CHOROZINHO,"(-38.4986, -4.28873)",,,,,,
CONS FORTALEZA,"(-38.5423, -3.71664)",321.0,7.46,0.326,505.0,7.546,0.359
CONS CUBATAO,"(array([-46.424]), array([-23.8911]))",,7.365,0.231,24.0,7.403,0.394
